Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper,,
Provenance in Collaborative in Silico Scientific Research,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Verifying IO Synchronization from MPI Traces,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Call for establishing benchmark science and engineering,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
You can't debug what you can't see: Expanding observability with the OmniTable,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Provenance in Collaborative in Silico Scientific Research: a Survey,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Specifying and checking file system crashconsistency models,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Carver: Finding Important Parameters for Storage System Tuning,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Model Checking and the State Explosion Problem,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
CONFU: Configuration Fuzzing Testing Framework for Software Vulnerability Detection,Backward,relevant,,Understanding configuration dependencies of file systems,,
Verifying File System Consistency at Runtime,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Redundancy Does Not Imply Fault Tolerance: Analysis of Distributed Storage Reactions to Single Errors and Corruptions,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
ConfErr: A tool for assessing resilience to human configuration errors,Backward,relevant,,Understanding configuration dependencies of file systems,,
A Study of Linux File System Evolution,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Learning from Mistakes: A Comprehensive Study on Real World Concurrency Bug Characteristics,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
DR. Checker: A Soundy Analysis for Linux Kernel Drivers,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Cross-Checking Semantic Correctness: The Case of Finding File System Bugs,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
IRON File Systems,Backward,not-relevant,,Understanding configuration dependencies of file systems,,
Static extraction of program configuration options,Backward,relevant,,Understanding configuration dependencies of file systems,,
Spiffy: Enabling File-System Aware Storage Applications,Backward,relevant,,Understanding configuration dependencies of file systems,,
Holistic Configuration Management at Facebook,Backward,relevant,,Understanding configuration dependencies of file systems,,
An HCI View of Configuration Problems,Backward,relevant,,Understanding configuration dependencies of file systems,,
An Evolutionary Study of Configuration Design and Implementation in Cloud Systems,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Static detection of silent misconfigurations with deep interaction analysis,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Test-case prioritization for configuration testing,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
ConfInLog: Leveraging Software Logs to Infer Configuration Constraints,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Multi-intention-aware configuration selection for performance tuning,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Forensic analysis of configuration-based attacks,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Deep Understanding of Runtime Configuration Intention,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Characterizing and Detecting Configuration Compatibility Issues in Android Apps,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Finding heterogeneous-unsafe configuration parameters in cloud systems,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
A Survey on Tackling Software Configuration Faults,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Automatic Inference of Computing Environments,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Detecting Access Control Misconfigurations with Change Validation,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Mitigating Distributed Configuration Errors in Cloud Systems,Forward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Discovering feature flag interdependencies in Microsoft office,Forward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
PracExtractor: Extracting Configuration Good Practices from Manuals to Detect Server Misconfigurations,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Testing Configuration Changes in Context to Prevent Production Failures,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
"Software Configuration Engineering in Practice Interviews, Survey, and Systematic Literature Review",Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
ConfEx: A Framework for Automating Text-based Software Configuration Analysis in the Cloud,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Statically inferring performance properties of software configurations,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Automated Reasoning and Detection of Specious Configuration in Large Systems with Symbolic Execution,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
What should your run-time configuration framework do to help developers?,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Configuration Testing: Testing Configuration Values as Code and with Code.,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Towards Continuous Access Control Validation and Forensics,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Software Configuration Diagnosis - A Survey of Existing Methods and Open Challenges,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Mining Container Image Repositories for Software Configuration and Beyond,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
MisconfDoctor: Diagnosing Misconfiguration via Log-Based Configuration Testing,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
"Usable declarative configuration specification and validation for applications, systems, and cloud",Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Early Detection of Configuration Errors to Reduce Failure Damage,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Determine Configuration Entry Correlations for Web Application Systems,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Getting Back Up: Understanding How Enterprise Data Backups Fail,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Probabilistic Automated Language Learning for Configuration Files,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
ORPLocator: Identifying Read Points of Configuration Options via Static Analysis,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
ConfMapper: Automated Variable Finding for Configuration Items in Source Code,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
"Hey, you have given me too many knobs!: understanding and dealing with over-designed configuration in system software",Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
On Problematic Robotic Thresholds,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
ConfValley: a systematic configuration validation framework for cloud services,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Practical and accurate pinpointing of configuration errors using static analysis,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Proactive detection of inadequate diagnostic messages for software configuration errors,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
PrefFinder: getting the right preference in configurable software systems,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Automating Configuration Troubleshooting with Dynamic Information Flow Analysis,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
X-ray: Automating Root-Cause Diagnosis of Performance Anomalies in Production Software,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
The Datacenter as a Computer: An Introduction to the Design of Warehouse-scale Machines,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Users Beware: Preference Inconsistencies Ahead,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Demystifying Configuration Challenges and Trade-Offs in Network-based ISP Services,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Constructing Interaction Test Suites for Highly-Configurable Systems in the Presence of Constraints: A Greedy Approach,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Feedback Driven Adaptive Combinatorial Testing,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Detection of Logical Coupling Based on Product Release History,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Why Does the Cloud Stop Computing? Lessons from Hundreds of Service Outages,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
A User Survey of Configuration Challenges in Linux and eCos,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Are Disks the Dominant Contributor for Storage Failures,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Configurations Everywhere: Implications for Testing and Debugging in Practice,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Set the Configuration for the Heart of the OS: On the Practicality of Operating System Kernel Debloating,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Tracking Load-time Configuration Options,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Fail at Scale: Reliability in the Face of Rapid Change,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
iGen: Dynamic Interaction Inference for Configurable Software,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Configuration Aware Prioritization Techniques in Regression Testing,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Configuration-Aware Regression Testing: An Empirical Study of Sampling and Prioritization,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Impact Analysis of Configuration Changes for Test Case Selection,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Precomputing Possible Configuration Error Diagnosis,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
How Hadoop Clusters Break,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Using Symbolic Evaluation to Understand Behavior in Configurable Software Systems,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
On Cross-stack Configuration Errors,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
All You Ever Wanted to Know about Dynamic Taint Analysis and Forward Symbolic Execution (but Might Have Been Afraid to Ask),Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
iTree: Efficiently Discovering High-Coverage Configuration Using Interaction Trees,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Balancing Soundness and Efficiency for Practical Testing of Configurable Systems,Backward,relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Reducing Field Failures in System Configurable Software: Cost-Based Prioritization,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Automatic Misconfiguration Troubleshooting with PeerPressure,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
"STRIDER: A Black-box, State-based Approach to Change and Configuration Management and Support",Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Mining Container Image Repositories for Software Configurations and Beyond,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
How Do System Administrators Resolve Access-Denied Issues in the Real World?,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Be Conservative: Enhancing Failure Diagnosis with Proactive Logging,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Simple Testing Can Prevent Most Critical Failures: An Analysis of Production Failures in Distributed Data-intensive Systems,Backward,not-relevant,,Understanding and discovering software configuration dependencies in cloud and datacenter systems,,
Natural Language is a Programming Language: Applying Natural Language Processing to Software Development,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
ConfSeer: Leveraging Customer Support Knowledge Bases for Automated Misconfiguration Detection,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Which configuration option should I change?,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
ICSE: G: Fighting Software Configuration Errors with Combined Static and Dynamic Program Analyses,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Context-based Online Configuration-Error Detection,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Methods and systems for migrating networked systems across administrative domains,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Methods and systems for discovering configuration data,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Enabling on-the-fly business process composition through an event-based approach,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Misconfiguration detection for cloud datacenters using decision tree analysis,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Autonomic computing in the first decade: trends and direction,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Software Configuration Diagnosis-A Survey of Existing Methods and Open Challenges,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Improving efficiency and resilience in large-scale computing systems through analytics and data-driven management,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Stigmergic interoperability for autonomic systems: Managing complex interactions in multi-manager scenarios,Forward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Diagnosing Software Configuration Errors via Static Analysis,Forward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Fast Extraction of Adaptive Change Point Based Patterns for Problem Resolution in Enterprise Systems,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Mining Activity Data for Dynamic Dependency Discovery in e-Business System,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Approaches to building self healing systems using dependency analysis,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Discovering Dynamic Dependencies in Enterprise Environments for Problem Determination,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Automatic failure-path inference: a generic introspection technique for Internet applications,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
An active approach to characterizing dynamic dependencies for problem determination in a distributed environment,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Systems Management: Application Response Measurement (ARM),Backward,not found,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
A model of configuration complexity and its application to a change management system,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Dependency Analysis in Distributed Systems using Fault Injection: Application to Problem Determination in an e-commerce Environment,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Discovering Dependencies for Network Management,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
An Alarm Correlation and Fault Identification Scheme Based on OSI Managed Object Classes,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
The google similarity distance,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
New Approach for Automated Generation of Service Dependency Models,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Managing the configuration complexity of distributed applications in Internet data centers,Backward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Using Google Distance to Weight Approximate Ontology Matches,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Integrated Event Management: Event Correlation using Dependency Graphs,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Beauty and the Beast: The Theory and Practice of Information Integration,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Service-Centric Computing: An Infrastructure Perspective,Backward,not found,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Using formal concept analysis to establish model dependencies,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Managing Application Services over Service Provider Networks: Architecture and Dependency Analysis,Backward,relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Fault Isolation and Event Correlation for Integrated Fault Management,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
"Why do Internet service fail, and what can we do about it?",Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
"Recovery-Oriented Computing (ROC): Motivation, Definition",Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Reuse Frequency as Metric for Dependency Resolver Selection,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
The present and future of event correlation: A need for end-to-end service fault localization,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Approaches for Service Deployment,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
High Speed and Robust Event Correlation,Backward,not-relevant,,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications,,
Detecting false-passing products and mitigating their impact on variability fault localization in software product lines,Forward,not-relevant,,Configuration-dependent fault localization,,
Detecting Coincidental Correctness and Mitigating Its Impacts on Localizing Variability Faults,Forward,not-relevant,,Configuration-dependent fault localization,,
A LambdaMart-Based High-Accuracy Approach for Software Automatic Fault Localization,Forward,not accessible,,Configuration-dependent fault localization,,
An evaluation of similarity coefficients for software fault localization,Backward,not-relevant,,Configuration-dependent fault localization,,
Dynamic program slicing,Backward,not-relevant,,Configuration-dependent fault localization,,
FeatureOriented Software Product Lines: Concepts and Implementation,Backward,not accessible,,Configuration-dependent fault localization,,
Software Change Impact Analysis,Backward,not accessible,,Configuration-dependent fault localization,,
The program dependence graph and its use in optimization,Backward,not-relevant,,Configuration-dependent fault localization,,
Feature interaction faults revisited: An exploratory study,Backward,relevant,,Configuration-dependent fault localization,,
Test confessions: A study of testing practices for plug-in systems,Backward,not-relevant,,Configuration-dependent fault localization,,
Empirical evaluation of the tarantula automatic fault-localization technique,Backward,not-relevant,,Configuration-dependent fault localization,,
Visualization of test information to assist fault localization,Backward,not-relevant,,Configuration-dependent fault localization,,
Software fault interactions and implications for software testing,Backward,not-relevant,,Configuration-dependent fault localization,,
On essential configuration complexity: Measuring interactions in highly-configurable systems,Backward,relevant,,Configuration-dependent fault localization,,
"Software Product Line Engineering: Foundations, Principles and Techniques",Backward,relevant,,Configuration-dependent fault localization,,
A classification and survey of analysis strategies for software product lines,Backward,relevant,,Configuration-dependent fault localization,,
A survey on software fault localization,Backward,not-relevant,,Configuration-dependent fault localization,,
A Real-Time Detection Method of Software Configuration Errors Based on Fine-Grained Configuration Item Types,Foward,relevant,,Easier Said Than Done: Diagnosing Misconfiguration via Configuration Constraints Analysis,,
Automated diagnosis of software misconfigurations based on static analysis,Backward,relevant,,Easier Said Than Done: Diagnosing Misconfiguration via Configuration Constraints Analysis,,
Generating range fixes for software configuration,Backward,relevant,,Easier Said Than Done: Diagnosing Misconfiguration via Configuration Constraints Analysis,,
What bugs live in the cloud? a study of 3000+ issues in cloud systems,Forward,relevant,,Do not blame users for misconfigurations,,
Transfer learning for performance modeling of configurable systems: An exploratory analysis,Forward,not-relevant,,Do not blame users for misconfigurations,,
Investigating system operators' perspective on security misconfigurations,Forward,not-relevant,,Do not blame users for misconfigurations,,
Bug characteristics in blockchain systems: a large-scale empirical study,Forward,relevant,,Do not blame users for misconfigurations,,
Understanding and auto-adjusting performance-sensitive configurations,Forward,not-relevant,,Do not blame users for misconfigurations,,
White-box analysis over machine learning: Modeling performance of configurable systems,Forward,relevant,,Do not blame users for misconfigurations,,
Datasize-aware high dimensional configurations auto-tuning of in-memory cluster computing,Forward,not-relevant,,Do not blame users for misconfigurations,,
Speedup your analytics: Automatic parameter tuning for databases and big data systems,Forward,not-relevant,,Do not blame users for misconfigurations,,
Why does your data leak? uncovering the data leakage in cloud from mobile apps,Forward,not-relevant,,Do not blame users for misconfigurations,,
Automated configuration bug report prediction using text mining,Forward,not-relevant,,Do not blame users for misconfigurations,,
What bugs cause production cloud incidents?,Forward,relevant,,Do not blame users for misconfigurations,,
Configcrusher: Towards white-box performance analysis for configurable systems,Forward,relevant,,Do not blame users for misconfigurations,,
"Effective notification campaigns on the web: A matter of trust, framing, and support",Forward,not-relevant,,Do not blame users for misconfigurations,,
Range fixes: Interactive error resolution for software configuration,Forward,relevant,,Do not blame users for misconfigurations,,
Change impact analysis for maintenance and evolution of variable software systems,Forward,relevant,,Do not blame users for misconfigurations,,
Taiji: managing global user traffic for large-scale internet services at the edge,Forward,not-relevant,,Do not blame users for misconfigurations,,
Exploring differences and commonalities between feature flags and configuration options,Forward,relevant,,Do not blame users for misconfigurations,,
Configuration-aware change impact analysis,Forward,relevant,,Do not blame users for misconfigurations,,
Maelstrom: Mitigating datacenter-level disasters by draining interdependent traffic safely and efficiently,Forward,not-relevant,,Do not blame users for misconfigurations,,
Cp-detector: Using configuration-related performance properties to expose performance bugs,Forward,not-relevant,,Do not blame users for misconfigurations,,
Declarative power sequencing,Forward,not-relevant,,Do not blame users for misconfigurations,,
Practical fault detection in Puppet programs,Forward,relevant,,Do not blame users for misconfigurations,,
Pbse: A robust path-based speculative execution for degraded-network tail tolerance in data-parallel frameworks,Forward,not-relevant,,Do not blame users for misconfigurations,,
On debugging the performance of configurable software systems: Developer needs and tailored tool support,Forward,not-relevant,,Do not blame users for misconfigurations,,
Metastable Failures in the Wild,Forward,not-relevant,,Do not blame users for misconfigurations,,
Perun: Confidential Multi-stakeholder Machine Learning Framework with Hardware Acceleration Support,Forward,not-relevant,,Do not blame users for misconfigurations,,
Efspredictor: Predicting configuration bugs with ensemble feature selection,Forward,not-relevant,,Do not blame users for misconfigurations,,
Understanding issue correlations: a case study of the hadoop system,Forward,not-relevant,,Do not blame users for misconfigurations,,
Optimizing the performance-related configurations of object-relational mapping frameworks using a multi-objective genetic algorithm,Forward,not-relevant,,Do not blame users for misconfigurations,,
Guiding the evolution of product-line configurations,Forward,not-relevant,,Do not blame users for misconfigurations,,
Understanding and detecting software upgrade failures in distributed systems,Forward,relevant,,Do not blame users for misconfigurations,,
Detecting and Measuring Misconfigured Manifests in Android Apps,Forward,relevant,,Do not blame users for misconfigurations,,
The perils of android security configuration,Forward,not-relevant,,Do not blame users for misconfigurations,,
Nosql breakdown: A large-scale analysis of misconfigured nosql services,Forward,not-relevant,,Do not blame users for misconfigurations,,
Does the choice of configuration framework matter for developers? empirical study on 11 java configuration frameworks,Forward,not-relevant,,Do not blame users for misconfigurations,,
Unified Configuration Setting Access in Configuration Management Systems,Forward,relevant,,Do not blame users for misconfigurations,,
An evolutionary strategy for resilient cyber defense,Forward,not-relevant,,Do not blame users for misconfigurations,,
Trans-Alfvénic magnetohydrodynamic turbulence in the vicinity of supernova remnant Cassiopeia-A shocks,Forward,not-relevant,,Do not blame users for misconfigurations,,
Sok: an analysis of protocol design: avoiding traps for implementation and deployment,Forward,not-relevant,,Do not blame users for misconfigurations,,
TFix: Automatic Timeout Bug Fixing in Production Server Systems,Forward,relevant,,Do not blame users for misconfigurations,,
Sapphire: Automatic configuration recommendation for distributed storage systems,Forward,relevant,,Do not blame users for misconfigurations,,
Faster bug detection for software product lines with incomplete feature models,Forward,relevant,,Do not blame users for misconfigurations,,
GuyDance: guiding configuration updates for product-line evolution,Forward,not-relevant,,Do not blame users for misconfigurations,,
