Number,Snowballing: Backward/Forward,Method,Annotator 1,Annotator 2,Origin Paper
7,Localizing configurations in highly-configurable systems,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
8,Leveraging Artificial Intelligence Capabilities for Real-Time Monitoring of Cybersecurity Threats,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
9,Cp-detector: Using configuration-related performance properties to expose performance bugs,Forward,not relevant,not relevant,Do not blame users for misconfigurations
10,"CONFPROFITT: A CONFIGURATION-AWARE PERFORMANCE PROFILING, TESTING, AND TUNING FRAMEWORK",Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
11,Why does your data leak? uncovering the data leakage in cloud from mobile apps,Forward,not relevant,not relevant,Do not blame users for misconfigurations
12,Fragment retrieval on models for model maintenance: Applying a multi-objective perspective to an industrial case study,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
13,Maintaining feature traceability with embedded annotations,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
14,"The first decade of gui ripping: Extensions, applications, and broader impacts",Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
15,Interactive program synthesis by augmented examples,Forward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
16,A Study of Failure Recovery and Logging of High-Performance Parallel File Systems,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
17,Verifying File System Consistency at Runtime,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
18,Monitoring system-of-systems requirements in multi product lines,Forward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
19,Above the Clouds: A Berkeley View of Cloud Computing,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
20,See it to believe it? the role of visualisation in systems research,Forward,not relevant,not relevant,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis
21,Rationalizing neural predictions,Backward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
22,Pollution Attacks and Defense in Cloud-like Networks,Forward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
23,General Attacks and Approaches in Cloud-Scale Networks,Forward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
24,A view of 20th and 21st century software engineering,Backward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
25,Preprocessor conditional removal by simple partial evaluation,Backward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
26,Flight data recorder: Monitoring persistent-state interactions to improve systems management,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
27,ConfigMiner: Identifying the appropriate configuration options for config-related user questions by mining online forums,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
28,Poster: Re-Testing Configured Instances in the Production Environment-A Method for Reducing the Test Suite,Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
29,Assessing and Comparing Security of Web Servers,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
30,Configuration Debugging as Search: Finding the Needle in the Haystack,Backward,not relevant,not relevant,Do not blame users for misconfigurations
31,A Novel Vehicle Tracking Algorithm Using Video Image Processing,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
32,A Generic Framework for Testing Parallel File Systems,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
33,An Empirical Study of the Reliability of UNIX Utilities,Backward,not relevant,not relevant,Challenges and opportunities: an in-depth empirical study on configuration error injection testing
34,Attack surface reduction in contemporary operating systems via practical kernel debloating,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
35,Snitch: Interactive Decision Trees for Troubleshooting Misconfigurations,Backward,not relevant,not relevant,Do not blame users for misconfigurations
36,Nomen est omen: Exploring and exploiting similarities between argument and parameter names,Backward,not relevant,not relevant,Do you really know how to configure your software? configuration constraints in source code may help
37,Gaining Cyber Security Insight Through an Analysis of Open Source Intelligence Data: An East African Case Study,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
38,Forensic analysis of configuration-based attacks,Forward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
39,Some Trends in Web Application Development,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
40,Discovering Dependencies for Network Management,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
41,A Component-based software configuration management model and its supporting system,Backward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
42,Bootstrapping an Infrastructure,Backward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
43,On Failure Diagnosis of the Storage Stack,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
44,A qualitative study of application-level caching,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
45,Synthesis of attributed feature models from product descriptions: Foundations,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
46,Effective identification of failureinducing changes: a hybrid approach,Backward,not relevant,not relevant,Automated diagnosis of software configuration errors
47,Exploring Information Technology Professional's Perspectives on Controlling Security Misconfigurations in the United States: A Generic Qualitative Inquiry,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
48,Fault Tolerance Performance Evaluation of Large-Scale Distributed Storage Systems HDFS and Ceph Case Study,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
49,"Profiling, what-if analysis, and cost-based optimization of mapreduce programs",Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
50,Datasize-aware high dimensional configurations auto-tuning of in-memory cluster computing,Forward,not relevant,not relevant,Do not blame users for misconfigurations
51,Network monitoring: Present and future,Forward,not relevant,not relevant,Tracking configuration changes proactively in large IT environments
52,A Hybrid Analysis Framework for Detecting Web Application Vulnerabilities,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
53,Software fault interactions and implications for software testing,Backward,not relevant,not relevant,Configuration-dependent fault localization
54,Anti-unification and the theory of semirings,Forward,not relevant,not relevant,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis
55,Facilitating Feature-Oriented Quality Assurance in Low-Maturity Variant-Rich Systems,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
56,Morpheus: Variability-aware refactoring in the wild,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
57,Understanding software provisioning: An ontological view,Forward,not relevant,not relevant,ConfDiagnoser: an automated configuration error diagnosis tool for Java software
58,A Survey on Security Issues in Service Delivery Models of Cloud Computing,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
59,Fine-grained access-control for the puppet configuration language,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
60,Understanding issue correlations: a case study of the hadoop system,Forward,not relevant,not relevant,Do not blame users for misconfigurations
61,A Large-Scale Analysis of the Security of Embedded Firmwares,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
62,LLVM: A Compilation Framework for Lifelong Program Analysis & Transformation,Backward,not relevant,not relevant,Do not blame users for misconfigurations
63,Multi-intention-aware configuration selection for performance tuning,Forward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
64,Heuristic evaluation of user interfaces,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
65,"Computing resource transformation, consolidation and decomposition in hybrid clouds",Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
66,Preventive Measures for Digital Learning Spaces' Security Issues,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
67,Tool choice matters: JavaScript quality assurance tools and usage outcomes in GitHub projects,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
68,Are ultra-large systems systems of systems?,Backward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
69,Test confessions: A study of testing practices for plug-in systems,Backward,not relevant,not relevant,Configuration-dependent fault localization
70,Bugs as Deviant Behavior: A General Approach to Inferring Errors in Systems Code,Backward,not relevant,not relevant,Do not blame users for misconfigurations
71,Natural Language is a Programming Language: Applying Natural Language Processing to Software Development,Forward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
72,A survey on software fault localization,Backward,not relevant,not relevant,Configuration-dependent fault localization
73,"Recent Progress in Software Testing, Debugging and Analysis: A Survey",Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
74,The vision of autonomic computing,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
75,The present and future of event correlation: A need for end-to-end service fault localization,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
76,File Systems are Hard to Test—Learning from Xfstests,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
77,Privacy-Preserving Friends Troubleshooting Network,Backward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
78,All You Ever Wanted to Know about Dynamic Taint Analysis and Forward Symbolic Execution (but Might Have Been Afraid to Ask),Backward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
79,"Dependable computing: Concepts, limits, challenges",Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
80,Integrated Event Management: Event Correlation using Dependency Graphs,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
81,A Decision-Theoretic Approach to Network Fault Diagnosis and Follow-up Action,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
82,Understanding Variability-Aware Analysis in Low-Maturity Variant-Rich Systems,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
83,Semantic Fuzzing with Zest,Backward,not relevant,not relevant,Challenges and opportunities: an in-depth empirical study on configuration error injection testing
84,Multivariable control design for a boiler furnace,Forward,not relevant,not relevant,Do not blame users for misconfigurations
85,On Improving (Non) Functional Testing,Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
86,Explaining inference queries with bayesian optimization,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
87,FHistorian: Locating features in version histories,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
88,Praxi: cloud software discovery that learns from practice,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
89,Configuration Modeling and Diagnosis in Data Centers,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
90,Sequential pattern mining using a bitmap representation,Backward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
91,PFault: A General Framework for Analyzing the Reliability of High-Performance Parallel File Systems,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
92,Configuration-Aware Regression Testing: An Empirical Study of Sampling and Prioritization,Backward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
93,Humanaware computer system design,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
94,Mining feature revisions in highly-configurable software systems,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
95,Induction of Decision Trees,Backward,not relevant,not relevant,Misconfiguration detection for cloud datacenters using decision tree analysis
96,Grand research challenges in information systems,Backward,not relevant,not relevant,ConfVD: System Reactions Analysis and Evaluation Through Misconfiguration Injection
97,A Feature-Oriented Method for Extracting a Product Line Asset from a Family of Legacy Applications,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
98,The Reliability of Modern File Systems in the face of SSD Errors,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
99,Improving Function Coverage with Munch: A Hybrid Fuzzing and Directed Symbolic Execution Approach,Backward,not relevant,not relevant,Challenges and opportunities: an in-depth empirical study on configuration error injection testing
100,An empirical study on the developers’ perception of software coupling,Backward,not relevant,not relevant,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis
101,Approaches to building self healing systems using dependency analysis,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
102,Mining Quantative Association Rules in Large Relational Tables,Backward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
103,Automatically generating predicates and solutions for configuration troubleshooting,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
104,Stigmergic interoperability for autonomic systems: Managing complex interactions in multi-manager scenarios,Forward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
105,Configurations Everywhere: Implications for Testing and Debugging in Practice,Backward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
106,On compression of encrypted video,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
107,IT troubleshooting with drift analysis in the DevOps era,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
108,Secure expandable communication framework for POCT system development and deployment,Forward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
109,Comparing the Intensity of Variability Changes in Software Product Line Evolution,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
110,Guest Editorial: A Retrospective of Special Sections on Software Testing and Program Analysis,Forward,not relevant,not relevant,Do you really know how to configure your software? configuration constraints in source code may help
111,Security Threat Landscape,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
112,Finding semantic bugs in file systems with an extensible fuzzing framework,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
113,Confprof: White-box performance profiling of configuration options,Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
114,"Generative Programming: Methods, Tools, and Applications",Backward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
115,Simulating the evolution of clone-and-own projects with VEVOS,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
116,Fail-slow fault tolerance needs programming support,Forward,not relevant,not relevant,Do not blame users for misconfigurations
117,Visualizing distributed system executions,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
118,Managing Gigabytes: Compressing and Indexing Documents and Images,Backward,not relevant,not relevant,Automated diagnosis of software configuration errors
119,Leveraging feature location to extract the clone-and-own relationships of a family of software products,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
120,Understanding and Finding Crash-Consistency Bugs in Parallel File Systems,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
121,Traceability link recovery between requirements and models using an evolutionary algorithm guided by a learning to rank algorithm: Train control and management case,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
122,Coevolution of variability models and related artifacts: A case study from the Linux kernel,Backward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
123,Dexter: faster troubleshooting of misconfiguration cases using system logs,Forward,not relevant,not relevant,Do not blame users for misconfigurations
124,Facilitating Connector Evolution With Architecture-Centric Development,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
125,Impact Analysis of Configuration Changes for Test Case Selection,Backward,not relevant,not relevant,Understanding and discovering software configuration dependencies in cloud and datacenter systems
126,What is All the FaaS About?-Remote Exploitation of FPGA-as-a-Service Platforms,Forward,not relevant,not relevant,Encore: Exploiting system environment and correlation information for misconfiguration detection
127,What have we learnt in 20 years of L4 microkernels?,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
128,"A framework for approximate generalization in quantitative theories: RISC Report Series, 22-04",Forward,not relevant,not relevant,Rex: Preventing bugs and misconfiguration in large services using correlated change analysis
129,Finding broken Linux configuration specifications by statically analyzing the Kconfig language,Forward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
130,Penetration testing for the inexperienced ethical hacker: A baseline methodology for detecting and mitigating web application vulnerabilities,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
131,You can't debug what you can't see: Expanding observability with the OmniTable,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
132,"Operationalization of the Metadata Element"" Difficulty""",Forward,not relevant,not relevant,Misconfiguration detection for cloud datacenters using decision tree analysis
133,Field studies of computer system administrators: Analysis of system management tools and practices,Backward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
134,Performance Health Index for Complex Cyber Infrastructures,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
135,Actor in Multi Product Line,Forward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
136,Puppet: A Declarative Subset of the Puppet Configuration Language,Forward,not relevant,not relevant,Systems Approaches to Tackling Configuration Errors: A Survey
137,Provenance in Collaborative in Silico Scientific Research,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
138,Declarative power sequencing,Forward,not relevant,not relevant,Do not blame users for misconfigurations
139,Improving awareness during product derivation in multi-user multi product line environments,Backward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
140,There's a hole in that bucket! a large-scale analysis of misconfigured s3 buckets,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
141,Libsvm: A library for support vector machines,Backward,not relevant,not relevant,ConfigFile++: Automatic comment enhancement for misconfiguration prevention
142,Optimizing the performance-related configurations of object-relational mapping frameworks using a multi-objective genetic algorithm,Forward,not relevant,not relevant,Do not blame users for misconfigurations
143,A Performance Study of Lustre File System Checker: Bottlenecks and Potentials,Backward,not relevant,not relevant,Understanding configuration dependencies of file systems
144,Methods and systems for migrating networked systems across administrative domains,Forward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
145,An experiment comparing lifted and delayed variability-aware program analysis,Forward,not relevant,not relevant,Do not blame users for misconfigurations
146,Approaches for Service Deployment,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
147,Automated configuration bug report prediction using text mining,Forward,not relevant,not relevant,Do not blame users for misconfigurations
148,Beauty and the Beast: The Theory and Practice of Information Integration,Backward,not relevant,not relevant,Determining configuration parameter dependencies via analysis of configuration data from multi-tiered enterprise applications
149,Web Application Security Assessment Tools,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
150,Parsing of configuration files,Forward,not relevant,not relevant,Do not blame users for misconfigurations
151,Reducing Total Cost of Ownership,Backward,not relevant,not relevant,Do not blame users for misconfigurations
152,Fuzz Revisited: A Reexamination of the Reliability of UNIX Utilities and Services,Backward ,not relevant,not relevant,Challenges and opportunities: an in-depth empirical study on configuration error injection testing
153,@tcomment: Testing javadoc comments to detect comment-code inconsistencies,Backward,not relevant,not relevant,ConfigFile++: Automatic comment enhancement for misconfiguration prevention
154,Kmax: Finding all configurations of kbuild makefiles statically,Forward ,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
155,Going through the Life Cycle of Faults in Clouds: Guidelines on Fault Handling,Forward,not relevant,not relevant,Do not blame users for misconfigurations
156,The Top Cyber Security Risks,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
157,Learning to Adapt: Analyses for Configurable Software,Forward,not relevant,not relevant,Do not blame users for misconfigurations
158,DevSecOps: Enabling Security by Design in Rapid Software Development,Forward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
159,Harmonics extraction based on higher order statistics spectrum decomposition for a unified texture model,Forward,not relevant,not relevant,Mining configuration constraints: static analyses and empirical results
160,Formal semantics of the CDL language,Backward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
161,FuzzFactory: Domain-Specific Fuzzing with Waypoints,Backward ,not relevant,not relevant,Challenges and opportunities: an in-depth empirical study on configuration error injection testing
162,Dip-coating of Superhydrophobic Surface on Irregular Substrates for Dropwise Condensation,Forward ,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
163,GRASShopper - Complete Heap Verification with Mixed Specifications,Backward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
164,Testing and Comparing Web Vulnerability Scanning Tools for SQL Injection and XSS Attacks,Backward,not relevant,not relevant,Early detection of security misconfiguration vulnerabilities in web applications
165,Grammar filtering for syntax-guided synthesis,Forward,not relevant,not relevant,Synthesizing configuration file specifications with association rule learning
166,Comprehensive assessment of 3D visual images,Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
167,Evolution of the Linux kernel variability model,Backward,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
168,Mixsets: Combining Annotative and Compositional Approaches to Variability and Product Lines,Forward,not relevant,not relevant,Do you really know how to configure your software? configuration constraints in source code may help
169,A lightweight IoT firmware vulnerability detection scheme based on homology detection,Forward,not relevant,not relevant,Automated diagnosis of software configuration errors
170,Leveraging Virtual Machine Introspection for {Hot-Hardening} of Arbitrary {Cloud-User} Applications,Forward,not relevant,not relevant,Do not blame users for misconfigurations
171,Interpretability of configurable software in the biosciences,Forward ,not relevant,not relevant,Where Do Configuration Constraints Stem From? An Extraction Approach and an Empirical Study
172,Early and efficient quality assurance of risky technical parameters in a mechatronic design process,Forward,not relevant,not relevant,Managing emerging configuration dependencies in multi product lines
